,date,open,close,high,low,volume,code
0,2001-01-02,3.606,3.609,3.646,3.572,34122.68,000001
1,2001-01-03,3.611,3.581,3.624,3.564,54294.2,000001
2,2001-01-04,3.584,3.559,3.596,3.547,48404.44,000001
3,2001-01-05,3.554,3.522,3.554,3.502,66419.01,000001
4,2001-01-08,3.522,3.472,3.522,3.467,69944.94,000001
5,2001-01-09,3.472,3.609,3.616,3.435,52336.37,000001
6,2001-01-10,3.611,3.577,3.619,3.549,34503.41,000001
7,2001-01-11,3.584,3.668,3.77,3.581,81211.18,000001
8,2001-01-12,3.668,3.671,3.708,3.636,38902.96,000001
9,2001-01-15,3.671,3.519,3.671,3.5,29981.98,000001
10,2001-01-16,3.519,3.591,3.609,3.502,23367.03,000001
11,2001-01-17,3.596,3.641,3.72,3.596,46971.37,000001
12,2001-01-18,3.646,3.696,3.745,3.646,53659.33,000001
13,2001-01-19,3.72,3.715,3.74,3.701,62236.74,000001
14,2001-02-05,3.72,3.619,3.745,3.609,24415.95,000001
15,2001-02-06,3.619,3.641,3.671,3.567,22101.48,000001
16,2001-02-07,3.643,3.606,3.671,3.596,13508.08,000001
17,2001-02-08,3.606,3.505,3.621,3.472,24233.76,000001
18,2001-02-09,3.51,3.569,3.596,3.51,20286.35,000001
19,2001-02-12,3.572,3.569,3.596,3.502,23028.74,000001
20,2001-02-13,3.574,3.547,3.584,3.547,15092.15,000001
21,2001-02-14,3.537,3.524,3.552,3.522,13593.97,000001
22,2001-02-15,3.542,3.51,3.559,3.507,13692.19,000001
23,2001-02-16,3.512,3.519,3.522,3.485,16732.14,000001
24,2001-02-19,3.517,3.594,3.596,3.502,15319.43,000001
25,2001-02-20,3.584,3.539,3.611,3.522,15961.91,000001
26,2001-02-21,3.534,3.472,3.534,3.46,36539.27,000001
27,2001-02-22,3.448,3.438,3.472,3.433,34421.42,000001
28,2001-02-23,3.423,3.502,3.502,3.423,18374.23,000001
29,2001-02-26,3.51,3.524,3.562,3.507,18624.35,000001
30,2001-02-27,3.534,3.497,3.542,3.485,23521.05,000001
31,2001-02-28,3.522,3.495,3.522,3.485,14854.92,000001
32,2001-03-01,3.522,3.547,3.596,3.497,21856.71,000001
33,2001-03-02,3.577,3.733,3.79,3.574,277292.39,000001
34,2001-03-05,3.748,3.733,3.822,3.723,186756.62,000001
35,2001-03-06,3.733,3.745,3.75,3.678,60021.8,000001
36,2001-03-07,3.758,3.827,3.857,3.745,153459.69,000001
37,2001-03-08,3.839,4.016,4.082,3.795,477047.74,000001
38,2001-03-09,4.018,4.018,4.075,3.973,315035.53,000001
39,2001-03-12,4.018,4.001,4.038,3.953,138881.5,000001
40,2001-03-13,4.001,3.968,4.033,3.944,130946.07,000001
